,batch size,epochs,width,height,act,loss_mean,loss_std,val_loss_mean,val_loss_std
0,10,50,0,16,relu,13.341088104248048,7.208428897888111,15.881672286987305,8.385293307155408
1,10,50,0,16,relu,12.268537902832032,5.397062003704356,14.392374420166016,6.199857256902917
2,10,50,1,16,relu,7.101224613189697,2.8574022880952668,9.508101081848144,3.2461188840704644
3,10,50,1,16,relu,7.448449611663818,1.9902549591076255,9.948295307159423,2.353308772161993
4,10,50,2,16,relu,6.814937686920166,2.5528936441018892,9.148437023162842,2.867719376621596
5,10,50,2,16,relu,5.8189191818237305,2.0920610663688612,8.272473621368409,2.4603622395247258
6,10,50,0,32,relu,9.58936128616333,4.506382157268349,11.371044254302978,4.485103746673258
7,10,50,0,32,relu,9.226761627197266,3.568659406280511,11.430436706542968,4.479539325612427
8,10,50,1,32,relu,5.907014846801758,2.583679315783302,8.267372989654541,2.96321141954387
9,10,50,1,32,relu,4.957145357131958,2.390535932097281,7.792669200897217,3.004424469096674
10,10,50,2,32,relu,3.765402150154114,2.263154840891963,6.404978084564209,2.7830038199553084
11,10,50,2,32,relu,3.9453603744506838,2.132147528005169,6.6547479152679445,2.62020111295837
12,10,50,0,64,relu,7.814455032348633,2.95310256314523,10.065407180786133,3.096225061349055
13,10,50,0,64,relu,7.663185501098633,2.7483789986514626,10.104448223114014,3.326142623645561
14,10,50,1,64,relu,3.6301055908203126,2.3658722095031695,6.35052375793457,2.991754639941372
15,10,50,1,64,relu,3.608535075187683,2.1889816539658646,6.859266996383667,3.080168983837405
16,10,50,2,64,relu,2.0169941186904907,1.3584668710224532,4.955677461624146,3.0623655309249282
17,10,50,2,64,relu,2.230221676826477,1.531131945428859,5.350659656524658,2.892323432735447
18,10,100,0,16,relu,9.047334671020508,3.23572832841717,11.644395446777343,3.540153786802523
19,10,100,0,16,relu,8.58116044998169,2.2172914414482863,10.830830764770507,2.650669542886589
20,10,100,1,16,relu,4.653510284423828,1.956388921124289,8.52514476776123,3.363339679640519
21,10,100,1,16,relu,4.842337942123413,2.092236446678916,7.672515487670898,2.4205617478761963
22,10,100,2,16,relu,3.728613758087158,1.6438602208157036,6.70991849899292,2.3117394674678753
23,10,100,2,16,relu,3.2005348682403563,1.6748904046882425,7.266085052490235,3.0716764536901064
24,10,100,0,32,relu,6.653442001342773,2.1982097790489012,9.267574214935303,2.685831341032498
25,10,100,0,32,relu,6.838926601409912,2.194551022799464,9.631651687622071,2.84211735172306
26,10,100,1,32,relu,3.4048911809921263,1.9798450342751377,6.478747034072876,2.57901803806649
27,10,100,1,32,relu,3.5401607036590574,1.7429661883528138,6.7080491065979,2.54521234019531
28,10,100,2,32,relu,1.5883803009986877,1.1361571094722278,5.373589658737183,2.7142496584745475
29,10,100,2,32,relu,1.9341078519821167,1.359138303077122,5.02377724647522,2.141037419223334
30,10,100,0,64,relu,5.721314334869385,1.8048073282706654,8.371148490905762,2.3935864360416073
31,10,100,0,64,relu,5.113326597213745,1.968300248636861,7.542567539215088,2.16497759621536
32,10,100,1,64,relu,1.7586385250091552,1.3710634685643412,5.323418188095093,3.2519555136486566
33,10,100,1,64,relu,1.7311261415481567,1.3833677074189759,5.207225656509399,3.1830957618780418
34,10,100,2,64,relu,0.8701976299285888,0.6365550232054349,3.916386437416077,3.400773478426862
35,10,100,2,64,relu,1.0193202137947082,0.6439576811044493,4.420295548439026,3.1928713726069526
36,10,200,0,16,relu,6.234975433349609,1.7124279058252987,8.972692012786865,2.2473350824339158
37,10,200,0,16,relu,6.990792465209961,1.4520708500097033,9.898269081115723,2.0100982440843347
38,10,200,1,16,relu,3.6822494983673097,1.3475896910457876,7.251893043518066,2.768220764748291
39,10,200,1,16,relu,2.965933632850647,1.6680312200327385,7.557961750030517,3.564693020229746
40,10,200,2,16,relu,2.0441583395004272,1.1856671092265738,6.843897962570191,3.503275226133329
41,10,200,2,16,relu,2.661863613128662,1.4237417898499556,7.255910205841064,2.5971702501081184
42,10,200,0,32,relu,5.221991729736328,1.2035346727544305,7.998337936401367,1.9153538314770004
43,10,200,0,32,relu,4.83973503112793,1.2726719606546244,7.69498348236084,1.914071576988151
44,10,200,1,32,relu,1.2784398734569549,1.0299166860531985,5.066091251373291,2.55221921566475
45,10,200,1,32,relu,1.1745653450489044,1.1327324794653593,5.836005067825317,3.688702512167858
46,10,200,2,32,relu,0.9712332546710968,0.7481224344869509,5.793139410018921,4.153687050524114
47,10,200,2,32,relu,0.9883503377437591,0.7283358318321015,4.990633106231689,3.1211588105298227
48,10,200,0,64,relu,3.7783586978912354,1.392760819791758,7.431034660339355,1.7576452481543499
49,10,200,0,64,relu,3.4456151962280273,1.420895801250435,6.791550827026367,2.099090078304681
50,10,200,1,64,relu,0.7151530712842942,0.8596361349892117,4.858989095687866,3.6321948361316005
51,10,200,1,64,relu,0.6512477576732636,0.5785117208378057,4.6831937551498415,3.3715077141202303
52,10,200,2,64,relu,0.32056626081466677,0.26533148558789355,4.351104116439819,4.33924071976444
53,10,200,2,64,relu,0.5510797679424286,0.4229153432127442,4.278254127502441,3.7357987323419684
54,20,50,0,16,relu,15.917815399169921,8.94785069890613,18.097544860839843,9.875204909613634
55,20,50,0,16,relu,14.656521034240722,8.16263491665915,16.644978713989257,8.696173272068092
56,20,50,1,16,relu,9.640258693695069,3.669376011143114,12.873057842254639,4.776745627402992
57,20,50,1,16,relu,9.643072319030761,3.1620551377503356,12.127897644042969,3.7493970450937644
58,20,50,2,16,relu,8.551349067687989,3.025933839142089,11.246457862854005,3.7966575574479666
59,20,50,2,16,relu,7.494846057891846,2.565556457969329,9.555715751647949,2.314758010401228
